source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Microglia,Microglia,TGFB1,TGFbR1_R2,0.025198248144158258,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Monocytes,Microglia,TGFB1,TGFbR1_R2,0.025954047528440865,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
NKTcells,Microglia,TGFB1,TGFbR1_R2,0.03991986158802996,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial,Microglia,TGFB1,TGFbR1_R2,0.0035285324189297863,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Bcells,Microglia,TGFB1,TGFbR1_R2,0.02412673118513643,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Microglia,Monocytes,TGFB1,TGFbR1_R2,0.013107561615008674,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Monocytes,Monocytes,TGFB1,TGFbR1_R2,0.013481397927856527,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
NKTcells,Monocytes,TGFB1,TGFbR1_R2,0.020932812487041073,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial,Monocytes,TGFB1,TGFbR1_R2,0.0018127906997171218,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Bcells,Monocytes,TGFB1,TGFbR1_R2,0.012536119451476776,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Microglia,Endothelial,TGFB1,TGFbR1_R2,0.005352469782873638,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Monocytes,Endothelial,TGFB1,TGFbR1_R2,0.005502220247530039,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
NKTcells,Endothelial,TGFB1,TGFbR1_R2,0.008573421239113362,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial,Endothelial,TGFB1,TGFbR1_R2,7.368926880850339e-4,0.04,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Bcells,Endothelial,TGFB1,TGFbR1_R2,0.005117004959181801,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Astrocytes,Microglia,TGFB2,TGFbR1_R2,0.015695262386779006,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial,Microglia,TGFB2,TGFbR1_R2,0.0012930311978770995,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Astrocytes,Monocytes,TGFB2,TGFbR1_R2,0.008119033413542774,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Endothelial,Monocytes,TGFB2,TGFbR1_R2,6.632410617685682e-4,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
