gene_name,module,supermodule,dim_1,dim_2,cluster,module_id
DPP6,6,1,3.5520325563186335,2.0051554577594484,Oligodendrocytes,Oligodendrocytes6
UTY,6,1,3.214187707685821,3.223907365108081,Oligodendrocytes,Oligodendrocytes6
XIST,37,1,2.061818208479278,-2.369875387644223,Oligodendrocytes,Oligodendrocytes37
PDE1A,6,1,2.850085344099395,2.7050408261066163,Oligodendrocytes,Oligodendrocytes6
LLGL1,27,1,1.968554820799224,2.8346794979816163,Oligodendrocytes,Oligodendrocytes27
BAALC,26,1,-4.785351906037934,-0.13388715813105456,Oligodendrocytes,Oligodendrocytes26
SOX8,10,1,1.6085358522170707,1.9705423252826417,Oligodendrocytes,Oligodendrocytes10
HBB,22,1,-1.265973303533204,-2.90366773436015,Oligodendrocytes,Oligodendrocytes22
GPCPD1,28,1,0.6089290044540092,0.758600844646045,Oligodendrocytes,Oligodendrocytes28
NLGN4Y,6,1,3.2020588777297663,3.2274125950580324,Oligodendrocytes,Oligodendrocytes6
KDM5D,6,1,3.1777926347488092,3.170824898982593,Oligodendrocytes,Oligodendrocytes6
HBA2,22,1,-1.2954461910492256,-2.9116765124553954,Oligodendrocytes,Oligodendrocytes22
AC064829.1,6,1,3.2116681001418756,3.1468891041522706,Oligodendrocytes,Oligodendrocytes6
CORO1C,2,1,-1.4919485487705544,0.4356588261371339,Oligodendrocytes,Oligodendrocytes2
CA2,10,1,1.434987869047515,2.2645954029803956,Oligodendrocytes,Oligodendrocytes10
MT-ATP8,6,1,3.126438226484649,3.2534560101276124,Oligodendrocytes,Oligodendrocytes6
NKX6-2,10,1,1.0094519517654106,1.8824542896991456,Oligodendrocytes,Oligodendrocytes10
HSPA1A,32,1,-1.2419308759933785,-1.0810651643032347,Oligodendrocytes,Oligodendrocytes32
RAPGEF6,24,1,-0.7130511142975167,1.3373495476489747,Oligodendrocytes,Oligodendrocytes24
S100A1,3,1,-5.7119325735336615,-1.0669615132564818,Oligodendrocytes,Oligodendrocytes3
CAMK2N1,10,1,0.8386650941604301,2.4466794865375245,Oligodendrocytes,Oligodendrocytes10
PSME4,2,1,-1.492759499765046,0.396652831340381,Oligodendrocytes,Oligodendrocytes2
DPYSL2,27,1,2.2084027192825006,2.649907006526538,Oligodendrocytes,Oligodendrocytes27
CREB5,2,1,-0.8929086067444161,0.35946453979069837,Oligodendrocytes,Oligodendrocytes2
JUND,2,1,-1.5464507975345925,-0.02082978317683093,Oligodendrocytes,Oligodendrocytes2
PICALM,6,1,2.85450514771878,2.5305303471332277,Oligodendrocytes,Oligodendrocytes6
COBL,24,1,-1.5855913796192482,1.1500219242816652,Oligodendrocytes,Oligodendrocytes24
RPS10,3,1,-6.1635059454208685,-1.0897896153682982,Oligodendrocytes,Oligodendrocytes3
GLUL,2,1,-2.1123003550535513,0.5140859024768556,Oligodendrocytes,Oligodendrocytes2
APP,24,1,-0.8418464996582344,1.2295731442218507,Oligodendrocytes,Oligodendrocytes24
FMNL2,2,1,-0.9528709389931038,0.962312592769214,Oligodendrocytes,Oligodendrocytes2
QKI,6,1,3.56920298554837,2.7906288044696534,Oligodendrocytes,Oligodendrocytes6
RTN4,2,1,-1.1170242764717415,0.3393908875232423,Oligodendrocytes,Oligodendrocytes2
RPS26,3,1,-5.568607721543915,-1.0606306655163085,Oligodendrocytes,Oligodendrocytes3
PLP1,27,1,1.8402865789168998,2.7967561619525636,Oligodendrocytes,Oligodendrocytes27
MT-CO1,33,1,5.813447561048858,-4.50823556015437,Oligodendrocytes,Oligodendrocytes33
TSC22D4,14,1,-5.706931028581269,-3.0607609612697875,Oligodendrocytes,Oligodendrocytes14
RPL10,3,1,-6.15857497236789,-1.1808098418468749,Oligodendrocytes,Oligodendrocytes3
RPL19,3,1,-6.39786473295749,-1.5491033060306822,Oligodendrocytes,Oligodendrocytes3
MT-CYB,33,1,5.811853971266143,-4.505793915485791,Oligodendrocytes,Oligodendrocytes33
LINC01578,17,1,-2.322066877103455,-0.5917866093868529,Oligodendrocytes,Oligodendrocytes17
ADARB2,6,1,3.065206136488311,2.4085635082965577,Oligodendrocytes,Oligodendrocytes6
DPYD,9,1,-3.277803931451447,1.497349156642505,Oligodendrocytes,Oligodendrocytes9
RHOU,27,1,1.8159745595687553,2.6004647152667726,Oligodendrocytes,Oligodendrocytes27
SLAIN1,6,1,2.923699941419952,2.6811856167560304,Oligodendrocytes,Oligodendrocytes6
MBNL2,2,1,-0.42365244410098346,0.6047948735004152,Oligodendrocytes,Oligodendrocytes2
HMGB2,28,1,0.5561815164321586,0.6737023728137697,Oligodendrocytes,Oligodendrocytes28
GRIA2,30,1,1.1266089341872856,1.0241006748920167,Oligodendrocytes,Oligodendrocytes30
NR4A1,2,1,-1.3068264462715462,-0.3769466740841185,Oligodendrocytes,Oligodendrocytes2
ADAMTS18,9,1,-3.394028220391877,1.4221834080463136,Oligodendrocytes,Oligodendrocytes9
INSIG1,2,1,-1.5490515568023995,0.10408700873906263,Oligodendrocytes,Oligodendrocytes2
SECISBP2L,27,1,2.5125265977615046,2.738233937526294,Oligodendrocytes,Oligodendrocytes27
SLC12A2,27,1,2.3630491159194635,2.8959735768085206,Oligodendrocytes,Oligodendrocytes27
CCDC88A,6,1,3.8858590982192682,2.661667241359302,Oligodendrocytes,Oligodendrocytes6
RPS15,3,1,-6.402811918473847,-1.7130743725055968,Oligodendrocytes,Oligodendrocytes3
MT-CO2,33,1,5.811550225996368,-4.505230293964795,Oligodendrocytes,Oligodendrocytes33
OLIG2,10,1,1.5397714040511772,2.1647414105182374,Oligodendrocytes,Oligodendrocytes10
GAB1,6,1,3.1028757951492,2.327594174647876,Oligodendrocytes,Oligodendrocytes6
HSPB1,32,1,-1.245238814569123,-1.1705590350384032,Oligodendrocytes,Oligodendrocytes32
HIST1H1E,28,1,0.7101322076553032,0.9263585942035402,Oligodendrocytes,Oligodendrocytes28
TMC6,10,1,1.466230478071563,2.3385847943073,Oligodendrocytes,Oligodendrocytes10
RPL8,3,1,-6.325663004136689,-1.083851204609326,Oligodendrocytes,Oligodendrocytes3
SCD5,6,1,2.989170160078399,2.541101826930591,Oligodendrocytes,Oligodendrocytes6
ADAM10,24,1,-0.789911542153962,1.346927775645801,Oligodendrocytes,Oligodendrocytes24
MTMR10,27,1,2.497353639387481,2.7895449536090577,Oligodendrocytes,Oligodendrocytes27
ANLN,27,1,2.5208879373305964,2.754495038295337,Oligodendrocytes,Oligodendrocytes27
RPS13,3,1,-6.160593424058564,-1.4976771933788573,Oligodendrocytes,Oligodendrocytes3
ENAH,24,1,-1.7869069316154793,1.0481847660785402,Oligodendrocytes,Oligodendrocytes24
PCDH1,28,1,0.6447320840591118,0.8385466473346437,Oligodendrocytes,Oligodendrocytes28
USP54,24,1,-0.46838739893496784,1.384150161052295,Oligodendrocytes,Oligodendrocytes24
